c(t),t
0.1765346839232454,0.624
0.1764993805169191,0.625
0.176464084170568,0.626
0.1764287948827803,0.627
0.1763935126521444,0.628
0.176358237477249,0.629
0.1763229693566832,0.63
0.1762877082890361,0.631
0.1762524542728974,0.632
0.176217207306857,0.633
0.1761819673895048,0.634
0.1761467345194314,0.635
0.1761115086952273,0.636
0.1760762899154836,0.637
0.1760410781787916,0.638
0.1760058734837427,0.639
0.1759706758289287,0.64
0.1759354852129419,0.641
0.1759003016343744,0.642
0.175865125091819,0.643
0.1758299555838687,0.644
0.1757947931091166,0.645
0.1757596376661563,0.646
0.1757244892535815,0.647
0.1756893478699862,0.648
0.1756542135139649,0.649
0.1756190861841122,0.65
0.175583965879023,0.651
0.1755488525972924,0.652
0.1755137463375159,0.653
0.1754786470982894,0.654
0.1754435548782087,0.655
0.1754084696758702,0.656
0.1753733914898706,0.657
0.1753383203188066,0.658
0.1753032561612755,0.659
0.1752681990158746,0.66
0.1752331488812017,0.661
0.1751981057558549,0.662
0.1751630696384322,0.663
0.1751280405275324,0.664
0.1750930184217542,0.665
0.1750580033196968,0.666
0.1750229952199595,0.667
0.1749879941211421,0.668
0.1749530000218444,0.669
0.1749180129206668,0.67
0.1748830328162097,0.671
0.1748480597070739,0.672
0.1748130935918606,0.673
0.174778134469171,0.674
0.1747431823376068,0.675
0.17470823719577,0.676
0.1746732990422627,0.677
0.1746383678756873,0.678
0.1746034436946467,0.679
0.1745685264977438,0.68
0.1745336162835821,0.681
0.174498713050765,0.682
0.1744638167978964,0.683
0.1744289275235806,0.684
0.1743940452264218,0.685
0.1743591699050249,0.686
0.1743243015579949,0.687
0.1742894401839369,0.6880000000000001
0.1742545857814565,0.6890000000000001
0.1742197383491597,0.6900000000000001
0.1741848978856523,0.6910000000000001
0.1741500643895409,0.6920000000000001
0.1741152378594321,0.6930000000000001
0.1740804182939328,0.6940000000000001
0.1740456056916503,0.6950000000000001
0.174010800051192,0.6960000000000001
0.1739760013711658,0.6970000000000001
0.1739412096501796,0.6980000000000001
0.1739064248868419,0.6990000000000001
0.1738716470797612,0.7000000000000001
0.1738368762275463,0.7010000000000001
0.1738021123288066,0.7020000000000001
0.1737673553821513,0.7030000000000001
0.1737326053861903,0.704
0.1736978623395335,0.705
0.1736631262407913,0.706
0.1736283970885741,0.707
0.1735936748814929,0.708
0.1735589596181586,0.709
0.1735242512971828,0.71
0.173489549917177,0.711
0.1734548554767533,0.712
0.1734201679745238,0.713
0.173385487409101,0.714
0.1733508137790978,0.715
0.1733161470831271,0.716
0.1732814873198024,0.717
0.1732468344877371,0.718
0.1732121885855453,0.719
0.173177549611841,0.72
0.1731429175652387,0.721
0.1731082924443532,0.722
0.1730736742477994,0.723
0.1730390629741925,0.724
